loan_id,current_balance,payment_status,days_past_due,last_payment_date,servicer_name,update_timestamp
LN-10083,236813.25,CURRENT,0,2026-07-09,Apex Mortgage Servicing,2026-08-25 23:44:07
LN-10084,310131.69,DELINQUENT_120,120,2026-07-10,Evergreen Capital Servicing,2026-08-26 07:44:07
LN-10085,77608.92,DELINQUENT_120,120,2026-08-10,Delta Servicing Co.,2026-08-26 15:44:07
LN-10086,263451.31,CURRENT,0,2026-07-16,Citadel Loan Partners,2026-08-26 00:44:07
LN-10087,311464.68,DELINQUENT_30,30,2026-07-25,Beacon Servicing Group,2026-08-25 22:44:07
LN-10088,454283.03,CURRENT,0,2026-07-30,Citadel Loan Partners,2026-08-26 05:44:07
LN-10089,203802.13,CURRENT,0,2026-07-09,Delta Servicing Co.,2026-08-26 16:44:07
LN-10090,144166.12,CURRENT,0,2026-08-19,Delta Servicing Co.,2026-08-26 16:44:07
LN-10091,426157.74,CURRENT,0,2026-08-01,Beacon Servicing Group,2026-08-26 15:44:07
LN-10092,84415.74,CURRENT,0,2026-07-19,Delta Servicing Co.,2026-08-26 04:44:07
LN-10093,564020.31,CURRENT,0,2026-08-03,Delta Servicing Co.,2026-08-25 18:44:07
LN-10094,412354.88,CURRENT,0,2026-06-30,Citadel Loan Partners,2026-08-26 03:44:07
LN-10095,285199.17,CURRENT,0,2026-08-03,Apex Mortgage Servicing,2026-08-26 15:44:07
LN-10096,300670.73,CURRENT,0,2026-07-01,Evergreen Capital Servicing,2026-08-26 10:44:07
LN-10097,453763.7,CURRENT,0,2026-06-29,Delta Servicing Co.,2026-08-26 08:44:07
LN-10098,201833.22,DELINQUENT_120,120,2026-07-17,Citadel Loan Partners,2026-08-26 01:44:07
LN-10099,499196.79,CURRENT,0,2026-08-18,Delta Servicing Co.,2026-08-26 00:44:07
LN-10100,519305.5,DELINQUENT_30,30,2026-07-04,Beacon Servicing Group,2026-08-26 11:44:07
LN-10101,150724.23,CURRENT,0,2026-08-18,Apex Mortgage Servicing,2026-08-25 21:44:07
LN-10102,0.0,PAID_OFF,0,2026-08-06,Citadel Loan Partners,2026-08-25 17:44:07
LN-10103,66933.04,DELINQUENT_120,120,2026-07-12,Apex Mortgage Servicing,2026-08-26 08:44:07
LN-10104,277024.48,DELINQUENT_90,90,2026-06-29,Beacon Servicing Group,2026-08-26 14:44:07
LN-10105,573496.25,CURRENT,0,2026-08-02,Citadel Loan Partners,2026-08-25 20:44:07
LN-10106,54728.01,CURRENT,0,2026-07-05,Delta Servicing Co.,2026-08-26 00:44:07
LN-10107,439010.81,CURRENT,0,2026-08-03,Evergreen Capital Servicing,2026-08-25 18:44:07
LN-10108,203998.56,CURRENT,0,2026-07-25,Evergreen Capital Servicing,2026-08-26 02:44:07
LN-10109,257587.7,CURRENT,0,2026-07-29,Citadel Loan Partners,2026-08-26 12:44:07
LN-10110,324615.89,CURRENT,0,2026-08-06,Citadel Loan Partners,2026-08-26 14:44:07
LN-10111,241764.08,CURRENT,0,2026-07-24,Apex Mortgage Servicing,2026-08-25 23:44:07
LN-10112,537975.35,CURRENT,0,2026-07-02,Beacon Servicing Group,2026-08-26 05:44:07
LN-10113,523290.69,CURRENT,0,2026-08-16,Evergreen Capital Servicing,2026-08-26 14:44:07
LN-10114,309598.23,CURRENT,0,2026-08-13,Citadel Loan Partners,2026-08-26 05:44:07
LN-10115,259745.63,CURRENT,0,2026-07-19,Citadel Loan Partners,2026-08-25 20:44:07
LN-10116,614365.38,CURRENT,0,2026-07-10,Beacon Servicing Group,2026-08-26 15:44:07
LN-10117,589198.95,CURRENT,0,2026-07-12,Delta Servicing Co.,2026-08-25 22:44:07
LN-10118,435585.3,CURRENT,0,2026-08-12,Evergreen Capital Servicing,2026-08-26 16:44:07
LN-10119,448356.87,CURRENT,0,2026-07-28,Citadel Loan Partners,2026-08-26 02:44:07
LN-10120,208792.21,CURRENT,0,2026-08-16,Apex Mortgage Servicing,2026-08-26 13:44:07
LN-10121,427618.13,CURRENT,0,2026-07-06,Citadel Loan Partners,2026-08-25 19:44:07
LN-10122,63796.46,CURRENT,0,2026-07-09,Evergreen Capital Servicing,2026-08-26 11:44:07
LN-10123,188182.57,CURRENT,0,2026-07-07,Beacon Servicing Group,2026-08-25 17:44:07
LN-10124,365071.86,CURRENT,0,2026-07-20,Citadel Loan Partners,2026-08-25 17:44:07
LN-10125,345000.0,CURRENT,0,2026-07-16,Evergreen Capital Servicing,2026-08-26 02:44:07
LN-10126,358598.19,DELINQUENT_90,90,2026-08-12,Delta Servicing Co.,2026-08-25 22:44:07
LN-10127,375227.6,CURRENT,0,2026-07-19,Delta Servicing Co.,2026-08-26 15:44:07
LN-10128,320267.63,CURRENT,0,2026-08-07,Citadel Loan Partners,2026-08-26 14:44:07
LN-10129,306807.28,CURRENT,0,2026-06-30,Delta Servicing Co.,2026-08-25 22:44:07
LN-10130,662903.62,CURRENT,0,2026-07-08,Evergreen Capital Servicing,2026-08-26 16:44:07
LN-10131,397790.23,CURRENT,0,2026-07-09,Apex Mortgage Servicing,2026-08-26 01:44:07
LN-10132,325395.13,CURRENT,0,2026-07-11,Apex Mortgage Servicing,2026-08-25 18:44:07
LN-10133,604548.39,CURRENT,0,2026-08-19,Citadel Loan Partners,2026-08-25 20:44:07
LN-10134,266181.14,CURRENT,0,2026-07-11,Delta Servicing Co.,2026-08-26 00:44:07
LN-10135,453423.49,CURRENT,0,2026-08-10,Apex Mortgage Servicing,2026-08-26 07:44:07
LN-10136,201752.57,CURRENT,0,2026-07-10,Apex Mortgage Servicing,2026-08-26 06:44:07
LN-10137,332421.52,CURRENT,0,2026-07-22,Beacon Servicing Group,2026-08-26 09:44:07
LN-10138,341145.68,CURRENT,0,2026-07-16,Apex Mortgage Servicing,2026-08-26 12:44:07
LN-10139,404698.12,CURRENT,0,2026-07-01,Delta Servicing Co.,2026-08-26 00:44:07
LN-10140,343798.94,CURRENT,0,2026-07-25,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10141,408851.44,CURRENT,0,2026-06-27,Delta Servicing Co.,2026-08-26 10:44:07
LN-10142,390712.59,CURRENT,0,2026-06-29,Beacon Servicing Group,2026-08-26 03:44:07
LN-10143,443553.21,CURRENT,0,2026-08-19,Apex Mortgage Servicing,2026-08-25 21:44:07
LN-10144,72062.5,CURRENT,0,2026-08-13,Apex Mortgage Servicing,2026-08-26 01:44:07
LN-10145,202391.25,CURRENT,0,2026-07-17,Apex Mortgage Servicing,2026-08-26 03:44:07
LN-10146,68694.51,CURRENT,0,2026-07-22,Evergreen Capital Servicing,2026-08-26 14:44:07
LN-10147,386749.4,CURRENT,0,2026-07-24,Apex Mortgage Servicing,2026-08-25 17:44:07
LN-10148,156943.63,CURRENT,0,2026-08-08,Delta Servicing Co.,2026-08-26 12:44:07
LN-10149,126369.97,CURRENT,0,2026-07-28,Citadel Loan Partners,2026-08-26 10:44:07
LN-10151,320256.07,CURRENT,0,2026-08-05,Citadel Loan Partners,2026-08-25 23:44:07
LN-10152,539378.85,DELINQUENT_30,30,2026-07-04,Apex Mortgage Servicing,2026-08-25 17:44:07
LN-10153,87540.7,DELINQUENT_120,120,2026-08-20,Apex Mortgage Servicing,2026-08-26 15:44:07
LN-10154,283394.5,CURRENT,0,2026-06-30,Citadel Loan Partners,2026-08-26 15:44:07
LN-10155,569523.27,DELINQUENT_120,120,2026-07-17,Delta Servicing Co.,2026-08-25 23:44:07
LN-10156,70568.23,CURRENT,0,2026-07-22,Evergreen Capital Servicing,2026-08-26 04:44:07
LN-10157,187143.48,CURRENT,0,2026-08-17,Delta Servicing Co.,2026-08-26 11:44:07
LN-10158,458781.06,DELINQUENT_120,120,2026-06-29,Beacon Servicing Group,2026-08-26 07:44:07
LN-10159,333747.53,CURRENT,0,2026-08-16,Delta Servicing Co.,2026-08-25 17:44:07
LN-10160,96256.68,DELINQUENT_30,30,2026-07-24,Citadel Loan Partners,2026-08-26 08:44:07
LN-10161,143653.92,CURRENT,0,2026-06-27,Citadel Loan Partners,2026-08-26 09:44:07
LN-10162,414592.58,CURRENT,0,2026-07-21,Citadel Loan Partners,2026-08-26 12:44:07
LN-10163,269100.83,DELINQUENT_90,90,2026-07-27,Apex Mortgage Servicing,2026-08-26 15:44:07
LN-10164,188951.32,CURRENT,0,2026-08-10,Citadel Loan Partners,2026-08-26 08:44:07
LN-10165,301381.87,CURRENT,90,2026-07-18,Evergreen Capital Servicing,2026-08-26 03:44:07
LN-10166,621624.64,CURRENT,0,2026-07-07,Beacon Servicing Group,2026-08-26 03:44:07
LN-10167,312117.46,CURRENT,0,2026-07-12,Evergreen Capital Servicing,2026-08-25 22:44:07
LN-10168,215984.16,DELINQUENT_90,90,2026-07-20,Beacon Servicing Group,2026-08-25 18:44:07
LN-10169,220076.32,DELINQUENT_120,120,2026-08-14,Apex Mortgage Servicing,2026-08-26 07:44:07
LN-10170,459789.83,CURRENT,0,2026-08-20,Apex Mortgage Servicing,2026-08-26 00:44:07
LN-10171,311205.84,CURRENT,0,2026-08-20,Delta Servicing Co.,2026-08-26 07:44:07
LN-10172,226606.45,CURRENT,0,2026-08-14,Delta Servicing Co.,2026-08-26 06:44:07
LN-10173,344379.05,CURRENT,0,2026-08-01,Beacon Servicing Group,2026-08-26 04:44:07
LN-10174,280346.11,CURRENT,0,2026-07-17,Beacon Servicing Group,2026-08-25 20:44:07
LN-10175,214043.6,CURRENT,0,2026-07-11,Evergreen Capital Servicing,2026-08-26 07:44:07
LN-10176,496914.4,CURRENT,0,2026-07-16,Delta Servicing Co.,2026-08-26 12:44:07
LN-10177,88194.8,CURRENT,0,2026-08-02,Beacon Servicing Group,2026-08-26 06:44:07
LN-10178,495083.56,CURRENT,0,2026-07-02,Beacon Servicing Group,2026-08-26 02:44:07
LN-10179,313186.23,CURRENT,0,2026-08-13,Apex Mortgage Servicing,2026-08-26 08:44:07
LN-10180,488823.69,CURRENT,0,2026-07-28,Delta Servicing Co.,2026-08-26 04:44:07
LN-10181,406343.12,CURRENT,0,2026-06-28,Citadel Loan Partners,2026-08-25 21:44:07
LN-10182,307205.23,CURRENT,0,2026-08-19,Apex Mortgage Servicing,2026-08-26 14:44:07
LN-10183,517390.76,CURRENT,0,2026-07-11,Apex Mortgage Servicing,2026-08-26 04:44:07
LN-10184,608978.1,DELINQUENT_120,120,2026-08-13,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10185,39920.17,CURRENT,0,2026-08-15,Apex Mortgage Servicing,2026-08-26 16:44:07
LN-10186,405949.2,DELINQUENT_60,60,2026-07-30,Delta Servicing Co.,2026-08-25 23:44:07
LN-10187,314337.63,CURRENT,0,2026-08-06,Beacon Servicing Group,2026-08-26 06:44:07
LN-10188,346555.0,CURRENT,0,2026-08-03,Delta Servicing Co.,2026-08-26 01:44:07
LN-10189,99932.27,CURRENT,0,2026-07-29,Delta Servicing Co.,2026-08-26 07:44:07
LN-10190,435870.41,CURRENT,0,2026-08-16,Delta Servicing Co.,2026-08-25 19:44:07
LN-10191,205525.33,CURRENT,0,2026-08-02,Apex Mortgage Servicing,2026-08-26 13:44:07
LN-10192,88050.83,DELINQUENT_60,60,2026-08-11,Apex Mortgage Servicing,2026-08-26 13:44:07
LN-10193,537688.31,CURRENT,0,2026-08-05,Apex Mortgage Servicing,2026-08-26 13:44:07
LN-10194,234158.45,CURRENT,0,2026-08-21,Evergreen Capital Servicing,2026-08-26 00:44:07
LN-10195,191379.9,CURRENT,0,2026-08-04,Citadel Loan Partners,2026-08-26 13:44:07
LN-10196,485650.79,CURRENT,0,2026-08-01,Citadel Loan Partners,2026-08-25 19:44:07
LN-10197,142510.46,CURRENT,0,2026-07-06,Beacon Servicing Group,2026-08-26 06:44:07
LN-10198,292689.87,CURRENT,0,2026-08-08,Apex Mortgage Servicing,2026-08-25 18:44:07
LN-10199,55253.76,CURRENT,0,2026-07-15,Apex Mortgage Servicing,2026-08-25 19:44:07
LN-10200,205868.97,DELINQUENT_30,30,2026-07-08,Delta Servicing Co.,2026-08-26 04:44:07
LN-10201,89060.36,CURRENT,0,2026-07-18,Apex Mortgage Servicing,2026-08-25 18:44:07
LN-10202,213846.16,CURRENT,0,2026-07-07,Apex Mortgage Servicing,2026-08-25 20:44:07
LN-10203,449259.77,CURRENT,0,2026-08-14,Beacon Servicing Group,2026-08-25 18:44:07
LN-10204,513610.65,DELINQUENT_30,30,2026-07-11,Beacon Servicing Group,2026-08-26 09:44:07
LN-10205,63003.36,CURRENT,0,2026-08-08,Citadel Loan Partners,2026-08-26 08:44:07
LN-10206,113230.52,CURRENT,0,2026-08-13,Delta Servicing Co.,2026-08-26 14:44:07
LN-10207,566645.71,CURRENT,0,2026-07-28,Citadel Loan Partners,2026-08-26 16:44:07
LN-10208,129405.85,CURRENT,0,2026-08-06,Apex Mortgage Servicing,2026-08-25 19:44:07
LN-10209,417892.79,CURRENT,0,2026-07-15,Citadel Loan Partners,2026-08-26 02:44:07
LN-10210,109821.15,DELINQUENT_30,30,2026-07-14,Beacon Servicing Group,2026-08-25 22:44:07
LN-10211,207442.05,CURRENT,0,2026-07-03,Beacon Servicing Group,2026-08-26 15:44:07
LN-10212,389287.23,CURRENT,0,2026-07-11,Delta Servicing Co.,2026-08-26 03:44:07
LN-10213,472316.29,CURRENT,0,2026-07-27,Evergreen Capital Servicing,2026-08-25 18:44:07
LN-10214,424730.86,CURRENT,0,2026-08-11,Citadel Loan Partners,2026-08-26 14:44:07
LN-10215,203284.88,CURRENT,0,2026-07-26,Beacon Servicing Group,2026-08-26 06:44:07
LN-10216,0.0,PAID_OFF,0,2026-08-01,Apex Mortgage Servicing,2026-08-25 17:44:07
LN-10217,600154.79,CURRENT,0,2026-07-25,Evergreen Capital Servicing,2026-08-26 05:44:07
LN-10218,590606.14,CURRENT,0,2026-07-17,Evergreen Capital Servicing,2026-08-25 20:44:07
LN-10219,295845.33,CURRENT,0,2026-07-22,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10220,579855.07,CURRENT,0,2026-07-23,Delta Servicing Co.,2026-08-25 20:44:07
LN-10221,110025.41,CURRENT,0,2026-06-30,Delta Servicing Co.,2026-08-26 06:44:07
LN-10222,527922.29,CURRENT,0,2026-07-09,Evergreen Capital Servicing,2026-08-26 07:44:07
LN-10223,635981.34,CURRENT,0,2026-06-29,Beacon Servicing Group,2026-08-26 01:44:07
LN-10224,0,PAID_OFF,0,2026-07-15,Evergreen Capital Servicing,2026-08-26 02:44:07
LN-10225,114416.72,CURRENT,0,2026-08-05,Delta Servicing Co.,2026-08-26 12:44:07
LN-10226,218426.31,CURRENT,0,2026-08-04,Delta Servicing Co.,2026-08-25 23:44:07
LN-10227,190710.36,CURRENT,0,2026-07-14,Delta Servicing Co.,2026-08-26 05:44:07
LN-10228,556686.25,DELINQUENT_120,120,2026-07-03,Beacon Servicing Group,2026-08-25 22:44:07
LN-10229,582942.67,CURRENT,0,2026-07-27,Evergreen Capital Servicing,2026-08-25 20:44:07
LN-10230,310464.26,CURRENT,0,2026-08-03,Apex Mortgage Servicing,2026-08-26 09:44:07
LN-10231,275880.99,CURRENT,0,2026-07-22,Apex Mortgage Servicing,2026-08-26 14:44:07
LN-10232,294146.63,CURRENT,0,2026-07-09,Citadel Loan Partners,2026-08-26 04:44:07
LN-10233,33096.99,CURRENT,0,2026-08-04,Citadel Loan Partners,2026-08-25 19:44:07
LN-10234,349293.26,CURRENT,0,2026-07-06,Beacon Servicing Group,2026-08-26 07:44:07
LN-10235,279234.32,CURRENT,0,2026-07-10,Delta Servicing Co.,2026-08-26 16:44:07
LN-10236,385101.96,CURRENT,0,2026-08-07,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10237,549988.59,CURRENT,0,2026-08-09,Delta Servicing Co.,2026-08-26 08:44:07
LN-10238,218836.71,CURRENT,0,2026-07-21,Apex Mortgage Servicing,2026-08-26 15:44:07
LN-10239,45531.87,CURRENT,0,2026-07-27,Delta Servicing Co.,2026-08-26 03:44:07
LN-10240,293275.69,CURRENT,0,2026-08-02,Citadel Loan Partners,2026-08-25 21:44:07
LN-10241,245027.6,CURRENT,0,2026-07-31,Beacon Servicing Group,2026-08-26 07:44:07
LN-10242,455105.14,CURRENT,0,2026-07-28,Apex Mortgage Servicing,2026-08-25 23:44:07
LN-10243,434641.42,CURRENT,0,2026-07-08,Delta Servicing Co.,2026-08-25 21:44:07
LN-10244,368519.82,CURRENT,0,2026-07-02,Apex Mortgage Servicing,2026-08-26 09:44:07
LN-10245,54200.0,PAID_OFF,0,2026-07-31,Delta Servicing Co.,2026-08-26 06:44:07
LN-10246,450382.1,CURRENT,0,2026-08-03,Delta Servicing Co.,2026-08-25 21:44:07
LN-10247,161298.13,CURRENT,0,2026-06-28,Apex Mortgage Servicing,2026-08-25 23:44:07
LN-10248,261015.91,CURRENT,0,2026-06-29,Citadel Loan Partners,2026-08-26 09:44:07
LN-10249,553392.88,CURRENT,0,2026-08-10,Delta Servicing Co.,2026-08-25 19:44:07
LN-10250,419752.94,CURRENT,0,2026-08-21,Citadel Loan Partners,2026-08-26 12:44:07
LN-10251,219108.92,CURRENT,0,2026-06-29,Beacon Servicing Group,2026-08-26 04:44:07
LN-10252,543424.53,CURRENT,0,2026-07-20,Apex Mortgage Servicing,2026-08-26 15:44:07
LN-10253,169308.47,DELINQUENT_120,120,2026-08-15,Apex Mortgage Servicing,2026-08-26 01:44:07
LN-10254,46018.41,CURRENT,0,2026-07-29,Citadel Loan Partners,2026-08-25 22:44:07
LN-10255,433681.73,DELINQUENT_90,90,2026-07-17,Citadel Loan Partners,2026-08-26 16:44:07
LN-10256,148556.87,CURRENT,0,2026-08-08,Delta Servicing Co.,2026-08-26 03:44:07
LN-10257,212812.31,CURRENT,0,2026-08-21,Delta Servicing Co.,2026-08-25 23:44:07
LN-10258,287065.99,CURRENT,0,2026-07-20,Citadel Loan Partners,2026-08-25 23:44:07
LN-10259,442192.03,CURRENT,0,2026-07-07,Citadel Loan Partners,2026-08-26 02:44:07
LN-10260,-4250.0,CURRENT,0,2026-07-22,Evergreen Capital Servicing,2026-08-26 15:44:07
LN-10261,515654.39,CURRENT,0,2026-08-09,Apex Mortgage Servicing,2026-08-26 09:44:07
LN-10262,141563.88,DELINQUENT_60,60,2026-07-28,Evergreen Capital Servicing,2026-08-26 00:44:07
LN-10263,67671.88,CURRENT,0,2026-06-29,Delta Servicing Co.,2026-08-25 19:44:07
LN-10264,130572.23,CURRENT,0,2026-07-25,Apex Mortgage Servicing,2026-08-26 10:44:07
LN-10265,394901.11,CURRENT,0,2026-06-29,Evergreen Capital Servicing,2026-08-25 22:44:07
LN-10266,203122.53,CURRENT,0,2026-08-16,Delta Servicing Co.,2026-08-26 07:44:07
LN-10267,238709.5,DELINQUENT_90,90,2026-08-06,Delta Servicing Co.,2026-08-26 05:44:07
LN-10268,547037.19,DELINQUENT_90,90,2026-07-01,Evergreen Capital Servicing,2026-08-26 16:44:07
LN-10269,598270.37,CURRENT,0,2026-06-27,Beacon Servicing Group,2026-08-26 01:44:07
LN-10270,0.0,PAID_OFF,0,2026-08-18,Apex Mortgage Servicing,2026-08-26 11:44:07
LN-10271,394555.96,CURRENT,0,2026-07-11,Apex Mortgage Servicing,2026-08-26 16:44:07
LN-10272,63026.36,CURRENT,0,2026-06-30,Delta Servicing Co.,2026-08-25 20:44:07
LN-10273,0.0,PAID_OFF,0,2026-08-12,Evergreen Capital Servicing,2026-08-26 16:44:07
LN-10274,246269.04,CURRENT,0,2026-06-29,Evergreen Capital Servicing,2026-08-26 10:44:07
